objectid,filename,youtubeid,vimeoid,identifier,record_level,source,periodical_name,periodical_type,volume,month,issue_number,date,contents,article_identifier,source_heading,title,creator,pages,nature1_heading,nature2_heading,abstract,language,biographical_heading,corporate_name_heading,film_description_heading,TV_description_heading,subject,indexing_history,link,type,format,location,access_conditions
upfiperiod_000001,https://github.com/upfifilmarchives/periodicals/blob/main/objects/Cinemaya%20Vol59%20with%20Watermark/Cinemaya%20Vol59_0001.jpg?raw=true,,,UPFI-PER-2025-00001,Issue Record,Teddy Co Collection,Cinemaya: The Asian Film Quarterly,Magazine,59,Summer,1,2003,"Editorial, p. 1 | Article: Okinawa: In and Out of Japan by Yomota, Inuhiko, pp. 4-11 (8 p) | Article: Christine Hakim: The Star, The Woman by Achnas, Nan Triveni, pp. 12-15 (4 p) | Article: The New Look: Vietnamese Cinema by Lan, Ngo Phuong, pp. 16-21 (6 p)",,"Cinemaya: The Asian Film Quarterly, Vol. 59, no. 1 (Summer 2003)","Cinemaya: The Asian Film Quarterly, 2003, 59, no. 1 [Issue]",Network for the Promotion of Asian Cinema (NETPAC),,,,,,,,,,,,,Image;StillImage,image/jpg,Teddy Co Collection: Box 1,"This periodical issue and/or article is available for research access  on an on-site basis only at the UPFI Film Archives & Library (UPFIFA&L). Readers are advised to contact the archives in advance of their first visit. To request access, please fill out the Access Form at http://ssasdasdas. All copyrights reserved to the original author."
upfiperiod_000002,https://github.com/upfifilmarchives/periodicals/blob/main/objects/Cinemaya%20Vol59%20with%20Watermark/Cinemaya%20Vol59_0004-0011.jpg?raw=true,,,,Article Record,Teddy Co Collection,,,,,,2003,,UPFI-PER-2025-00001.002,"Cinemaya: The Asian Film Quarterly, Vol. 59, no. 1 (Summer 2003)",Okinawa: In Japan and Out of It [Article],"Yomota, Inuhiko",pp. 4-11 (8 p),A Article,IL Illustration(s),"The Japanese islands of Okinawa have always had a distinct identity. For long, they suffered discrimination at the hands of the mainlanders; at other times, they were regarded as objects of anthropological interest, as evident in some of the films made by prominent filmmakers from the mainland. More recently, a handful of directors have tried to paint a more complex picture of an Okinawa which, ""while structurally within Japan, is still really the other in terms of history, culture and language."" Inuhiko Yomota speaks of how Japanese films and filmmakers have approached the question of singularity of Okinawa and Okinawans and about the films now being made by Okinawans themselves.",eng,"IMAMURA, SHOHEI (F Film); TADASHI, IMAI (F Film); OSHIMA, NAGISA (F Film); KITANO, TAKESHI (F Film); GO, TAKAMINE (F Film)",,"TOWER OF LILIES, THE (JP, Imai Tadashi, 1953); PROFOUND DESIRE OF THE GODS, THE (JP, Shohei Imamura, 1968); DEAR SUMMER SISTER (JP, Nagisa Oshima, 1973)",,ETHNIC GROUPS IN FILMS; JAPANESE PEOPLE IN FILMS,2025-06-05 (Created; ADM),https://upfifilmarchives.github.io/periodicals/item.html?id=upfiperiod_000001,Image;StillImage,image/jpg,Teddy Co Collection: Box 1,"This periodical issue and/or article is available for research access  on an on-site basis only at the UPFI Film Archives & Library (UPFIFA&L). Readers are advised to contact the archives in advance of their first visit. To request access, please fill out the Access Form at http://ssasdasdas. All copyrights reserved to the original author."
upfiperiod_000003,https://github.com/upfifilmarchives/periodicals/blob/main/objects/Cinemaya%20Vol59%20with%20Watermark/Cinemaya%20Vol59_0002.jpg?raw=true,,,,Article Record,Teddy Co Collection,,,,,,2003,,UPFI-PER-2025-00001.001,"Cinemaya: The Asian Film Quarterly, Vol. 59, no. 1 (Summer 2003)",Editorial,"Vasudev, Aruna",p. 1 (1 p),ED Editorial,C Credits,,eng,"NUGROHO, GARIN (F Film); ACHNAS, NAN TRIVENI (F Film); RAHARDJO, SLAMET (F Film); HAKIM, CHRISTINE (F Film); DHIEN, TJOET NHA (G Generic); YOMOTA, INUHIKO (W Writer); ZHUANGZHUANG, TIAN (F Film); DJAROT, EROS (F Film)",NETWORK FOR THE PROMOTION OF ASIAN CINEMA (F Film),"LEAF ON A PILLOW (ID, Garin Nugroho, 1998); WHISPERING SANDS (ID, Nan Triveni Achnas, 2001)",,SOUTH EAST ASIAN COUNTRIES; SOCIALIST REPUBLIC OF VIETNAM,2025-06-05 (Created; A. Mendizabal),https://upfifilmarchives.github.io/periodicals/item.html?id=upfiperiod_000001,Image;StillImage,image/jpg,Teddy Co Collection: Box 1,"This periodical issue and/or article is available for research access  on an on-site basis only at the UPFI Film Archives & Library (UPFIFA&L). Readers are advised to contact the archives in advance of their first visit. To request access, please fill out the Access Form at http://ssasdasdas. All copyrights reserved to the original author."
upfiperiod_000004,https://github.com/upfifilmarchives/periodicals/blob/main/objects/Cinemaya%20Vol59%20with%20Watermark/Cinemaya%20Vol59_0012-0015.jpg?raw=true,,,,Article Record,Teddy Co Collection,,,,,,2003,,UPFI-PER-2025-00001.003,"Cinemaya: The Asian Film Quarterly, Vol. 59, no. 1 (Summer 2003)","Christine Hakim... The Star, The Woman [Article]","Achnas, Nan Triveni",pp. 12-15 (4 p),A Article,IL Illustration(s),This article is the nature of Achnas' personal impressions of Christine Hakim.,eng,"NUGROHO, GARIN (F Film); ACHNAS, NAN TRIVENI (F Film); RAHARDJO, SLAMET (F Film); HAKIM, CHRISTINE (F Film); DHIEN, TJOET NHA (G Generic); DJAROT, EROS (F Film); KARYA, TEGUH (F Film); SYUMANDJAYA (F Film)",JAKARTA INSTITUTE OF THE ARTS (F Film),"FIRST LOVE (ID, Teguh Karya, 1975); LEAF ON A PILLOW (ID, Garin Nugroho, 1998); WHISPERING SANDS (ID, Nan Triveni Achnas, 2001); SHARP PEBBLES (ID, Syumandjaya, 1984)",,CHARACTER ACTORS; FEMALE FILM WORKERS; SOUTH EAST ASIAN COUNTRIES; PRODUCERS; POPULAR CULTURE AND THE CINEMA,2025-06-05 (Created; A. Mendizabal),https://upfifilmarchives.github.io/periodicals/item.html?id=upfiperiod_000001,Image;StillImage,image/jpg,Teddy Co Collection: Box 1,"This periodical issue and/or article is available for research access  on an on-site basis only at the UPFI Film Archives & Library (UPFIFA&L). Readers are advised to contact the archives in advance of their first visit. To request access, please fill out the Access Form at http://ssasdasdas. All copyrights reserved to the original author."
upfiperiod_000005,https://github.com/upfifilmarchives/periodicals/blob/main/objects/Cinemaya%20Vol59%20with%20Watermark/Cinemaya%20Vol59_0016-0021.jpg?raw=true,,,,Article Record,Teddy Co Collection,,,,,,2003,,UPFI-PER-2025-00001.004,"Cinemaya: The Asian Film Quarterly, Vol. 59, no. 1 (Summer 2003)",The New-Look: Vietnamese Cinema [Article],"Lan, Ngo Phuong",pp. 16-21 (6 p),A Article,IL Illustration(s),"Vietnamese cinema has now broken free of themes in which it was trapped for many decades. As the age of ideology disappears, large ideological themes are making way for smaller concerns of everyday life. Ngo Phuong Lan looks at the shapes the new cinema in her country is taking. ",eng,"VAN, NGUYEN THANH (F Film); MINH, DANG NHAT (F Film); NINH, LUU TRONG (F Film); HOANG, LE (F Film); SON, PHI TIEN (F Film); LINH, VIET (F Film); TUAN, NYUYEN (W Writer)",VIETNAME STATE ENTERPRISE FOR FILM AND PHOTOGRAPHY (F Film); GIAI PHONG FILM STUDIO (F Film); VIETNAME CINEMA ASSOCIATION (F Film),"SANDY LIFE (VN, Nguyen Thanh Van,1999); SEASON OF GUAVAS, THE (VN, Dang Nhat Minh, 2000); WHARF OF WIDOWS (VN, Luu Trong Ninh, 2001); GOLDEN KEY (VN, Le Hoang, 2001); HEADING SOUTH GOING NORTH (VN, Phi Tien Son, 2000); ME THAO - THERE WAS ONCE A TIME WHEN... (VN, Viet Linh, 2000); HEAVEN'S NET, THE (VN, Phi Tien Son, 2003); BAR GIRLS (VN, Le Hoang, 2003); DEVIL'S STAMP (VN, Viet Linh, 1992); COLLECTIVE FLAT (VN, Viet Linh, 1999); LITTLE CONSCIENCE (VN, Le Hoang, 1992); KNIFE, THE (VN, Le Hoang, 1995); LONG JOURNEY, THE (VN, Le Hoang, 1996)",,THIRD WORLD COUNTRIES; SOCIALIST REPUBLIC OF VIETNAM; SOUTH EAST ASIAN COUNTRIES; AIDS IN FILMS; YOUTH CINEMA,2025-06-05 (Created; A. Mendizabal),https://upfifilmarchives.github.io/periodicals/item.html?id=upfiperiod_000001,Image;StillImage,image/jpg,Teddy Co Collection: Box 1,"This periodical issue and/or article is available for research access  on an on-site basis only at the UPFI Film Archives & Library (UPFIFA&L). Readers are advised to contact the archives in advance of their first visit. To request access, please fill out the Access Form at http://ssasdasdas. All copyrights reserved to the original author."
upfiperiod_000006,https://github.com/upfifilmarchives/periodicals/blob/main/objects/Cinemaya%20Vol59%20with%20Watermark/Cinemaya%20Vol59_0022-0024.jpg?raw=true,,,,Article Record,Teddy Co Collection,,,,,,2003,,UPFI-PER-2025-00001.005,"Cinemaya: The Asian Film Quarterly, Vol. 59, no. 1 (Summer 2003)","AGAIN IN THE FOREST (IN, Goutam Ghose, 2003) [Film Review]","Chatterji, Shoma A",pp. 22-24 (3 p),R Review,IL Illustration(s); C Credits,,eng,"GHOSE, GOUTAM (F Film); RAY, SATYAJIT (F Film); SUNIL, GANGOPADHYAY (F Film); TAGORE, SHARMILA (F Film); CHATTERJEE, SOUMITRA (F Film); GANGULY, ROOPA (F Film); SENGUPTA, JISHU (F Film); MUKHOPADHYAY, SABYASACHI (F Film); BANERJEE, MOLOY (F Film); TABU (F Film); CHAMPA (F Film); CHAKRAVARTY, BIDIPTA (F Film); BASU, KABERI (F Film); BHANJA, SAMIT (F Film);",RAINBOW - T SARKAR (F Film),"AGAIN IN THE FOREST (IN, Goutam Ghose, 2003); DAYS AND NIGHTS IN THE FOREST (IN, Satyajit Ray, 1970); THE DOLL (IN, Goutam Ghose, 1997);",,"INDIA; SEPTEMBER 11, 2001 AND THE CINEMA; POLITICS AND THE CINEMA; MARRIAGE IN FILMS; FOUND FOOTAGE, USE OF",2025-06-06 (Created; A. Mendizabal),https://upfifilmarchives.github.io/periodicals/item.html?id=upfiperiod_000001,Image;StillImage,image/jpg,Teddy Co Collection: Box 1,"This periodical issue and/or article is available for research access  on an on-site basis only at the UPFI Film Archives & Library (UPFIFA&L). Readers are advised to contact the archives in advance of their first visit. To request access, please fill out the Access Form at http://ssasdasdas. All copyrights reserved to the original author."
upfiperiod_000007,https://github.com/upfifilmarchives/periodicals/blob/main/objects/Cinemaya%20Vol59%20with%20Watermark/Cinemaya%20Vol59_0024-0025.jpg?raw=true,,,,Article Record,Teddy Co Collection,,,,,,2003,,UPFI-PER-2025-00001.006,"Cinemaya: The Asian Film Quarterly, Vol. 59, no. 1 (Summer 2003)","SHARA (JP, Naomi Kawase, 2003) [Film Review]","Schilling, Mark",pp. 24-25 (2 p),R Review,IL Illustration(s); C Credits,,eng,"KAWASE, NAOMI (F Film); FUKUNAGA, KAHEI (F Film); HYODO, YUKA (F Film); KATSUHISA, NAMASE (F Film); YAMAZAKI, YUTAKA (F Film); KITANO, TAKESHI (F Film); ALLEN, WOODY (F Film); OZU, YASUJIRO (F Film); TOMOO, SANJO (F Film);  HIGUCHI, KANAKO (F Film);",CANNES FILM FESTIVAL (F Film); REALPRODUCTS (F Film),"SHARA (JP, Naomi Kawase, 2003); SUKAZU (JP, Naomi Kawase, 1997);",,JAPANESE PEOPLE IN FILMS; POPULAR MUSIC AND THE CINEMA; NATURE FILMS; YOUNG PEOPLE AND THE CINEMA; LOVE IN FILMS,2025-06-06 (Created; A. Mendizabal),https://upfifilmarchives.github.io/periodicals/item.html?id=upfiperiod_000001,Image;StillImage,image/jpg,Teddy Co Collection: Box 1,"This periodical issue and/or article is available for research access  on an on-site basis only at the UPFI Film Archives & Library (UPFIFA&L). Readers are advised to contact the archives in advance of their first visit. To request access, please fill out the Access Form at http://ssasdasdas. All copyrights reserved to the original author."
upfiperiod_000008,https://github.com/upfifilmarchives/periodicals/blob/main/objects/Cinemaya%20Vol59%20with%20Watermark/Cinemaya%20Vol59_0025-0027.jpg?raw=true,,,,Article Record,Teddy Co Collection,,,,,,2003,,UPFI-PER-2025-00001.007,"Cinemaya: The Asian Film Quarterly, Vol. 59, no. 1 (Summer 2003)","15 (SG, Royston Tan, 2003) [Film Review]","Keshwani, Nazir",pp. 25-27 (3 p),R Review,IL Illustration(s); C Credits,,eng,"TAN, ROYSTON (F Film); KHOO, ERIC (F Film); LEONG, LIM CHING (F Film); STEVENS, JEFF (F Film); FERNANDEZ, NIGEL (F Film); LIM, DARLENE (F Film); ISMON, AZHAR (F Film); TAN, SHAUN (F Film); CHEN, MELVIN (F Film); SOH, VYNN (F Film); CHUN, ERICK (F Film); LEE, MELVIN (F Film); ",SINGAPORE INTERNATIONAL FILM FESTIVAL (F Film); ZHAO WEI PRODUCTION HOUSE (F Film); SINGAPORE FILM COMMISSION (F Film); INFINITE FRAMEWORKS (F Film); YELLOWBOX STUDIOS (F Film); CAMERAQUIP (F Film),"15 (SG, Royston Tan, 2003); MEE POK MAN (SG, Eric Khoo, 1995); 12 STOREYS (SG, Eric Khoo, 1997);",,CITY LIFE IN FILMS; AIDS IN FILMS; SEMI-DOCUMENTARIES; HOMOSEXUALITY AND THE CINEMA; SOUTH EAST ASIAN COUNTRIES,2025-06-06 (Created; A. Mendizabal),https://upfifilmarchives.github.io/periodicals/item.html?id=upfiperiod_000001,Image;StillImage,image/jpg,Teddy Co Collection: Box 1,"This periodical issue and/or article is available for research access  on an on-site basis only at the UPFI Film Archives & Library (UPFIFA&L). Readers are advised to contact the archives in advance of their first visit. To request access, please fill out the Access Form at http://ssasdasdas. All copyrights reserved to the original author."
upfiperiod_000009,https://github.com/upfifilmarchives/periodicals/blob/main/objects/Cinemaya%20Vol59%20with%20Watermark/Cinemaya%20Vol59_0027-0028.jpg?raw=true,,,,Article Record,Teddy Co Collection,,,,,,2003,,UPFI-PER-2025-00001.008,"Cinemaya: The Asian Film Quarterly, Vol. 59, no. 1 (Summer 2003)","AUGUST SUN (LK, Prasanna Vithanage, 2003) [Film Review]","Crusz, Robert",pp. 27-28 (2 p),R Review,IL Illustration(s); C Credits,,eng,"VITHANAGE, PRASANNA (F Film); KULESHOV, LEV (F Film); MAHINDAPALA, M D (F Film); PRASAD, A SREEKAR (F Film); ALMEIDA, PETER (F Film); HARASGAMA, NIMMI (F Film); JAYASINGHE, NAMAL (F Film); RAHFIULLA, MOHAMED (F Film); EDIRISINGHE, SOMA (F Film);",LIBERATION TIGERS OF TAMIL EALAM (G Generic); EAP FILMS (F Film),"AUGUST SUN (LK, Prasanna Vithanage, 2003); DEATH ON A FULL MOON DAY (LK, Prasanna Vithanage, 1997);",,REFUGEES IN FILMS; PROSTITUTES IN FILMS; REVOLUTION IN FILMS; NON-PROFESSIONAL ACTORS; TAMIL CINEMA,2025-06-06 (Created; A. Mendizabal),https://upfifilmarchives.github.io/periodicals/item.html?id=upfiperiod_000001,Image;StillImage,image/jpg,Teddy Co Collection: Box 1,"This periodical issue and/or article is available for research access  on an on-site basis only at the UPFI Film Archives & Library (UPFIFA&L). Readers are advised to contact the archives in advance of their first visit. To request access, please fill out the Access Form at http://ssasdasdas. All copyrights reserved to the original author."
upfiperiod_000010,https://github.com/upfifilmarchives/periodicals/blob/main/objects/Cinemaya%20Vol59%20with%20Watermark/Cinemaya%20Vol59_0028-0029.jpg?raw=true,,,,Article Record,Teddy Co Collection,,,,,,2003,,UPFI-PER-2025-00001.009,"Cinemaya: The Asian Film Quarterly, Vol. 59, no. 1 (Summer 2003)","DISTANT (TR, Nuri Bilge Ceylan, 2002) [Film Review]","Dorsay, Atilla",pp. 28-29 (2 p),R Review,IL Illustration(s); C Credits,,eng,"CEYLAN, NURI BILGE (F Film); ERGURSEL, AYHAN (F Film); OZDEMIR, MUZAFFER (F Film); TOPRAK, MEHMET EMIN (F Film); ERKAYA, ZUHAL GENCER (F Film); CEYLAN, NAZAN KIRMILIB EBRU (F Film); KOC, FERIDUN (F Film); CEYLAN, FATMA (F Film);",NBC FILM (F Film);,"DISTANT (TR, Nuri Bilge Ceylan, 2002);",,SLOW CINEMA; EXISTENTIALISM AND THE CINEMA; TURKEY; ALIENATION IN FILMS; PSYCHOLOGY AND THE CINEMA,2025-06-06 (Created; A. Mendizabal),https://upfifilmarchives.github.io/periodicals/item.html?id=upfiperiod_000001,Image;StillImage,image/jpg,Teddy Co Collection: Box 1,"This periodical issue and/or article is available for research access  on an on-site basis only at the UPFI Film Archives & Library (UPFIFA&L). Readers are advised to contact the archives in advance of their first visit. To request access, please fill out the Access Form at http://ssasdasdas. All copyrights reserved to the original author."
